id,voter,author,permlink,weight,value,timestamp
NULL,riozjeker,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,steemcoffeeco,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,beavishoek,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,kilathecla,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,currykhoo,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,carolineparadis,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,shohag19,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,othmen-hajjem,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,wordymouth,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,funnyday,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,ezravandi,songsong,5309115933,100,0,2019-02-03 11:15:39
NULL,hazgruh,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,alexjay,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,fatimaah,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,trantrongtan,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,nathan1111,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,dmnds.southwest1,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,andestra,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,allh,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,mindcombustion,megafart,re-jaki01-germany-is-getting-so-dirty-deutschland-wird-immer-vermuellter-20190128t215613187z,9350,0,2019-02-03 11:15:39
NULL,arceuzz,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,smartmarkets,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,marinadelic,zorank,re-alinak15-re-zorank-re-alinak15-re-zorank-re-alinak15-happy-february-20190201t101048662z,10000,0,2019-02-03 11:15:39
NULL,pump-signal,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
