id,voter,author,permlink,weight,value,timestamp
NULL,techtip,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,dustbunny,minismallholding,minismallholding-re-wwf-re-minismallholding-minismallholding-re-wwf-the-2008-crash-will-happen-again-and-it-will-be-1000-times-worse-20190127t233830292z,1076,0,2019-02-03 11:15:39
NULL,steemflow,steemphotostudio,amazing-pic,430,0,2019-02-03 11:15:39
NULL,heristeem,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,bookeyclaudia,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,rishi556,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,bobbinj,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,fullcoverbetting,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,dfruit,beastlybanter,beastly-tales-the-skydiver,1000,0,2019-02-03 11:15:39
NULL,alkaliscancer,donald.porter,chart-of-the-day-xy-oracle-usdxyo,3000,0,2019-02-03 11:15:39
NULL,steemjet-airdrop,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,10000,0,2019-02-03 11:15:39
NULL,mikegpo,ronaldoavelino,336-african-animals-part-3,5000,0,2019-02-03 11:15:39
NULL,sunnylife,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,dhavey,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,3000,0,2019-02-03 11:15:39
NULL,thomasgift,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,birjudanak,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,thegoddess,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,jamesmovic,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,1500,0,2019-02-03 11:15:39
NULL,blog-fictions,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,pojan,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,300,0,2019-02-03 11:15:39
NULL,bloghound,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,coolguy222,coolguy222,sting-energy-drink,10000,0,2019-02-03 11:15:39
NULL,neihy05,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,nikolina,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,wrladyhawk,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,certain,vickykarma,mobile-photography-020-vf5yu1wy,10000,0,2019-02-03 11:15:39
NULL,shirleynpenalosa,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,inspiredgideon1,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,steemitkidsworld,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,cptnduras,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,reginecruz,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,lebelienk,chucknorrisfacts,daily-chuck--2019-01-31,10000,0,2019-02-03 11:15:39
NULL,frostyamber,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,yennarido,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,pandapuzzles,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,calisay,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,err0rist,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,mikeshuh,ronaldoavelino,336-african-animals-part-3,2500,0,2019-02-03 11:15:39
NULL,cryobiosis,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,happyphoenix,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,nantzjbalayo,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,truconspiracy,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,sn0white,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,animefanrd,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,crypto.piotr,davidke20,rek1z781,10000,0,2019-02-03 11:15:39
NULL,cheese4ead,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,sgbonus,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,techtip,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,calaber24p,b0y2k,monster-energy-supercross-round-5-san-diego-250-450-main-event-video-hd,10000,0,2019-02-03 11:15:39
NULL,edith4angelseu,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,ucmuharfli,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,1000,0,2019-02-03 11:15:39
NULL,tusiko,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,tirumala,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,steemslotgames,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,500,0,2019-02-03 11:15:39
NULL,firster78,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,3849,0,2019-02-03 11:15:39
NULL,paradigmprospect,nakedverse,20190203t111339032z-moonlight,1500,0,2019-02-03 11:15:39
NULL,kemalyokus,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,alisari,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,shift17,samstonehill,abraham-be-the-spiritual-you-and-create-like-a-physical-fiend,10000,0,2019-02-03 11:15:39
NULL,perpetuum-lynx,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,gulumserunver,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2200,0,2019-02-03 11:15:39
NULL,freewebcoins,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,elainefaye,nakedverse,20190203t111339032z-moonlight,500,0,2019-02-03 11:15:39
NULL,ekobudiyanto,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,canku,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,5500,0,2019-02-03 11:15:39
NULL,liberty-minded,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,muratkbesiroglu,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,200,0,2019-02-03 11:15:39
NULL,coinmeria,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,3500,0,2019-02-03 11:15:39
NULL,vishalhkothari,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,hayirhah,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,millibot,steemtim,gravity-zg1hbmlh-0ui1y,500,0,2019-02-03 11:15:39
NULL,jadabug,ireenchew,02uyic60,100,0,2019-02-03 11:15:39
NULL,rainbowlord,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,4400,0,2019-02-03 11:15:39
NULL,emirfirlar,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,contco,isarmoewe,re-meins0815-es-kommt-keine-stimmung-auf-20190203t110841968z,10000,0,2019-02-03 11:15:39
NULL,ogoowinner,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,3000,0,2019-02-03 11:15:39
NULL,bboyabluka,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,mozer,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,550,0,2019-02-03 11:15:39
NULL,fun2learn,cheretta,guacamole-qv0g0g6yqw,160,0,2019-02-03 11:15:39
NULL,ahmetchef,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,2750,0,2019-02-03 11:15:39
NULL,agememnon,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,4950,0,2019-02-03 11:15:39
NULL,amazonpricecheck,b0y2k,monster-energy-supercross-round-5-san-diego-250-450-main-event-video-hd,10000,0,2019-02-03 11:15:39
NULL,mbappe,djlethalskillz,backend-alpha-kw-50-appics-im-10082,300,0,2019-02-03 11:15:39
NULL,kibriakhan,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,shermanedwards,tuckerjtruman,qyk52zvw,850,0,2019-02-03 11:15:39
NULL,xrp.trail,djlethalskillz,backend-alpha-kw-50-appics-im-10082,170,0,2019-02-03 11:15:39
NULL,aiyanna,meno,let-me-sell-you-a-home,250,0,2019-02-03 11:15:39
NULL,enriquerodriguez,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,paolajane,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,mrtt,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,xonekaway,feri1,gainers-and-losers-in-last-24-hour-3-2-2019,10000,0,2019-02-03 11:15:39
NULL,jeng-e,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,rahul111,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,pandapuzzles,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,theinformant,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,5500,0,2019-02-03 11:15:39
NULL,shakailove,cheva,5psfbc-cn-stem,275,0,2019-02-03 11:15:39
NULL,robibm,rorxco,grain-is-good---35mm-2019-1-0-10-18-31,3800,0,2019-02-03 11:15:39
NULL,halloweenday,adam-photo,lake-wannsee,2500,0,2019-02-03 11:15:39
NULL,vohon17,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,prinsj,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,platinumsuperman,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,chetanpadliya,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,hodlorbust,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,jadabug,lindaflyhigh,8516302286,100,0,2019-02-03 11:15:39
NULL,millibot,learnagora,x6fo8,500,0,2019-02-03 11:15:39
NULL,fazlul,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,5000,0,2019-02-03 11:15:39
NULL,steemtaker,monajam,re-asadchughtai-iglassbot-w120-smart-window-wooden-floor-and-tiles-cleaning-robot-20190203t111950998z,200,0,2019-02-03 11:15:39
NULL,stellapentra,sunit,actifit-sunit-20190202t173436569z,10000,0,2019-02-03 11:15:39
NULL,eiky,cloudspyder,from-my-father-s-farm,10000,0,2019-02-03 11:15:39
NULL,perpetuum-lynx,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,cryptobabes,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,joaorafael,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,foruni73,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,fogel,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,hunzlakhan,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,effofex,ivansnz,8ukbvckw,59,0,2019-02-03 11:15:39
NULL,krushing,megafart,re-jaki01-germany-is-getting-so-dirty-deutschland-wird-immer-vermuellter-20190128t215613187z,10000,0,2019-02-03 11:15:39
NULL,johnleon,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,bitandi,powerpaul,seo-wirkt-or-steemillu-jetzt-endlich-mit-textbeitrag-schmiergeld-verknuepft,10000,0,2019-02-03 11:15:39
NULL,flamo,markus.light,20190203t105327766z-flip-intro-music,5000,0,2019-02-03 11:15:39
NULL,stmconnection,markus.light,20190203t105327766z-flip-intro-music,10000,0,2019-02-03 11:15:39
NULL,perfspots,ivansnz,ivansnz-1549192184275-perfspots-on-ivansnzs-instagram-20190203,10000,0,2019-02-03 11:15:39
NULL,cinematographer,ivansnz,ivansnz-1549192184275-perfspots-on-ivansnzs-instagram-20190203,10000,0,2019-02-03 11:15:39
NULL,wherein,ivansnz,ivansnz-1549192184275-perfspots-on-ivansnzs-instagram-20190203,500,0,2019-02-03 11:15:39
NULL,jmehta,cryptopie,dear-diary-i-feel-better-lately-but-my-ears-just-rang-like-hell,2700,0,2019-02-03 11:15:39
NULL,sawyn,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,universalglobe,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,mehta,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,newgenespeed,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,effofex,steeimran,do-not-rush-to-judge-people-of-their-forms,59,0,2019-02-03 11:15:39
NULL,jeng-e,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,torstenkor,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,xroni,boddhisattva,water-lily-5d79e178a621cest,3000,0,2019-02-03 11:15:39
NULL,heidimarie,hangin,steemit-portrait-photography-contest-week-69,10000,0,2019-02-03 11:15:39
NULL,eddy2cul,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,millibot,barbarabezina,autorretrato-con-huesos,500,0,2019-02-03 11:15:39
NULL,ryo-6414,ferrate,changing-our-style-of-prayer-8d9abe713b7e7,10000,0,2019-02-03 11:15:39
NULL,minmin009,alan369,first-to-write-down-water-team-is-the-best-will-get-this-card-gaasybbh,10000,0,2019-02-03 11:15:39
NULL,prinsj,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,msena,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,sani1189,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,techchat,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,ravenkim,wooboo,73,2000,0,2019-02-03 11:15:39
NULL,p-a-t,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,bitmaster177,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,memecenter,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,halloweenday,bonp,65z6zu-goldenhourphotography-sunset,2500,0,2019-02-03 11:15:39
NULL,mindstabber,brundlethwaite,control-rig-prototype,10000,0,2019-02-03 11:15:39
NULL,gregan,runridefly,runridefly-re-j85063-j85063-re-runridefly-runridefly-re-runridefly-1-readers-from-dollar-tree-helping-me-read-actifit-report-cards-on-the-partiko-dapp-vsa2dmgo-20190203t095224892z,10000,0,2019-02-03 11:15:39
NULL,venalbe,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,bitok.xyz,participant,2wlubc-today-s-breakfast,500,0,2019-02-03 11:15:39
NULL,fogel,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,dand,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,avision,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,smasssh,docsmith,my-knives-24-lady-in-red,2000,0,2019-02-03 11:15:39
NULL,iamthelonewolf,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,fulltimebot62,meesterboom,re-lengeorge-re-meesterboom-re-lengeorge-re-meesterboom-swamp-beers-20190203t083441776z,3301,0,2019-02-03 11:15:39
NULL,kylealex,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,schoolhumor,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,entropia,charjaim,elmsgrandeamor-wqpsudjgmq,10000,0,2019-02-03 11:15:39
NULL,ethanoatestress,donald.porter,chart-of-the-day-xy-oracle-usdxyo,3500,0,2019-02-03 11:15:39
NULL,kstate1,boomerang,boomerang-update-back-online,10000,0,2019-02-03 11:15:39
NULL,ryo-6414,ferrate,dance-with-the-devil-58ed9d375a304,10000,0,2019-02-03 11:15:39
NULL,minmin008,ohmygoodness,35edzt-my-entry-for-the-monomad-photography-contest-monomad,10000,0,2019-02-03 11:15:39
NULL,kardiva,marigold32,this-is-my-first-post-steemit-now-i-introduce-myself,10000,0,2019-02-03 11:15:39
NULL,nick2018,alcidescadiz,discorditlicos02-febrero2019practicadelecturaypreguntascotidianas-6jbhtonntb,10000,0,2019-02-03 11:15:39
NULL,yeiverlin,purepinay,actifit-purepinay-20190203t105817938z,7000,0,2019-02-03 11:15:39
NULL,kawj,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,varolleng,burlarj,wg4-2ou2i-16sd-b-1080p-hd-wireless-2ac-powered-ipcameras,5500,0,2019-02-03 11:15:39
NULL,gangstars,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,synace,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,galifrey,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,newgenespeed,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,mythologyupvote,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,steem-plus,ultima-alianza,articulos-votados-por-el-team-ultima-alianza-03-02-2019,24,0,2019-02-03 11:15:39
NULL,millibot,stephen-somers,trash-or-treasure-my-zimbabwean-coins-and-notes-edda7bd89123a,500,0,2019-02-03 11:15:39
NULL,psyceratopsb,revisesociology,weekly-running-update-2019-jan-28th-feb-3rd-smashed-my-park-run-pb-by-30-seconds,10000,0,2019-02-03 11:15:39
NULL,fightnight,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,genesis05,purepinay,lazy-but-not-lazy-ixb7lopo,3500,0,2019-02-03 11:15:39
NULL,mack-bot,whalebebe,20190203t112505551z,-50,0,2019-02-03 11:15:39
NULL,translatethis,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,rohosanz,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,ferflo,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,antomil,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,gsf1,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,patternbot,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,turtle-trader,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,msena,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,kaudipo,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,astur,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,steemdog,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,trasgu,quantumjump,-174-science-highlights-daily--2019-02-02,8000,0,2019-02-03 11:15:39
NULL,jaxxx,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,rafaelyar,fvb222,dexage-trading-ecosystem-part-1,10000,0,2019-02-03 11:15:39
NULL,nsiman,dulowegner,margintoken-review,5000,0,2019-02-03 11:15:39
NULL,ryo-6414,ferrate,messy-but-love-24d18f34a214c,10000,0,2019-02-03 11:15:39
NULL,mbappe,magicmonk,howtoinsertaparagraphofhtmltextinphp-o7wr6rzhpi,300,0,2019-02-03 11:15:39
NULL,walexworld,dulowegner,margintoken-review,5000,0,2019-02-03 11:15:39
NULL,storyangel,rem-steem,anker-powerwave-charging-stand-high-speed-wireless-charging,10000,0,2019-02-03 11:15:39
NULL,zuljalalil,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,btctoken,megafart,re-jaki01-germany-is-getting-so-dirty-deutschland-wird-immer-vermuellter-20190128t215613187z,9350,0,2019-02-03 11:15:39
NULL,daff,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,rahul.stan,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,mythologyupvote,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,morrigan,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,ivanic,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,fredkese,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,steeming-hot,artysteps,purple-water-droplets,25,0,2019-02-03 11:15:39
NULL,jmehta,sashadaygame,ben-greenfield-cold-showers-made-sasha-s-balls-grow,2700,0,2019-02-03 11:15:39
NULL,osakuni,dulowegner,margintoken-review,5000,0,2019-02-03 11:15:39
NULL,jamesbarraclough,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,raymondavid1,dulowegner,margintoken-review,5000,0,2019-02-03 11:15:39
NULL,edgarbevens,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,5000,0,2019-02-03 11:15:39
NULL,zenithace,dulowegner,margintoken-review,5000,0,2019-02-03 11:15:39
NULL,memetasia,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,fredkese,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,stuttgart,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,beneklikopek,donald.porter,chart-of-the-day-xy-oracle-usdxyo,3500,0,2019-02-03 11:15:39
NULL,michelmake,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,mister0nd0,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,mariaes,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,dynie,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,agel,behelen,igtxfni3,10000,0,2019-02-03 11:15:39
NULL,masterpostfinder,gogreenbuddy,daily-green-give-away-205-win-a-huge-upvote,10000,0,2019-02-03 11:15:39
NULL,modern-trojan,r3v3nan7,my-kitten-in-play-mood,1500,0,2019-02-03 11:15:39
NULL,steem-income8,r3v3nan7,my-kitten-in-play-mood,1500,0,2019-02-03 11:15:39
NULL,angelveselinov,r3v3nan7,my-kitten-in-play-mood,1000,0,2019-02-03 11:15:39
NULL,zappos,r3v3nan7,my-kitten-in-play-mood,300,0,2019-02-03 11:15:39
NULL,bubbleburst,chbartist,why-is-it-important-to-have-heroes-in-your-life,5000,0,2019-02-03 11:15:39
NULL,halloweenday,bonp,mynegativephotography-entry-94,2500,0,2019-02-03 11:15:39
NULL,insaallah99,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,daeshawn,witnessupdate,witness-update---02022019,225,0,2019-02-03 11:15:39
NULL,fucho80,manuelgil64,lacancindeldawindofchange-y6pglycuja,10000,0,2019-02-03 11:15:39
NULL,impatientoptim,chbartist,why-is-it-important-to-have-heroes-in-your-life,10000,0,2019-02-03 11:15:39
NULL,andresurrego,chbartist,success-story-7-the-difficult-life-of-selena-gomez-and-how-she-defeated-her-disease,10000,0,2019-02-03 11:15:39
NULL,yougotresteemed,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,michelmake,gguy773,pizza-pockets-6f2cf81c6eeb3,10000,0,2019-02-03 11:15:39
NULL,horizone,krutilla,myths-about-bitcoin-continuation,10000,0,2019-02-03 11:15:39
NULL,withbristy,legitonlinebiz,611p53kp,10000,0,2019-02-03 11:15:39
NULL,millibot,amart29,orbis-adios-a-la-villa,500,0,2019-02-03 11:15:39
NULL,jmehta,playdice,20190203093012820-diceroll,2700,0,2019-02-03 11:15:39
NULL,steemflow,midobashamido,rip-to-our-fallen-soldier-zg1hbmlh-gg9bv,409,0,2019-02-03 11:15:39
