id,sender,receiver,amount,precision,nai,timestamp
NULL,nageshwar0369,magicdice,45000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,251,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,luegenbaron,5158,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,67846,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,400,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,onepercentbetter,1,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,784,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,sarkash7011,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,binance-hot,poloniex,3317990,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,500,3,@@000000013,2019-02-03 12:03:42
NULL,tipu,arwine,6,3,@@000000013,2019-02-03 12:03:42
NULL,monsterstamer,peakcredit,4500,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,1600,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,1,3,@@000000013,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,bithumb.live,deepcrypto8,19890794,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,hiroyamagishi,cryptoanimals,1000,3,@@000000021,2019-02-03 12:03:42
NULL,schmidt2015,peakmonsters,108,3,@@000000013,2019-02-03 12:03:42
NULL,tipu,arwine,117,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,keovunav,1521,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7538,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,sbi-booster,drotto,1,3,@@000000013,2019-02-03 12:03:42
NULL,wokeprincess,blissfish,3,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,600,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,samarek69,104,3,@@000000013,2019-02-03 12:03:42
NULL,kabil,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,1,3,@@000000013,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,blissfish,wokeprincess,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,f21steem,1,3,@@000000013,2019-02-03 12:03:42
NULL,nikollettesunday,rocky1,25000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,100,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7538,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,steemitbingo,5,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,1,3,@@000000013,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,madushanka,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,200,3,@@000000013,2019-02-03 12:03:42
NULL,minnowbooster,beastlybanter,5,3,@@000000013,2019-02-03 12:03:42
NULL,discernente,profitvote,1025,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,1,3,@@000000013,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,aneilpatel,1,3,@@000000013,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,minnowbooster,resiliencia,460,3,@@000000013,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,300,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,hiroyamagishi,cryptoanimals,1000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,1,3,@@000000013,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,1000,3,@@000000021,2019-02-03 12:03:42
NULL,kabil,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,251,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,2000,3,@@000000021,2019-02-03 12:03:42
NULL,superpromoter,nikollettesunday,1,3,@@000000021,2019-02-03 12:03:42
NULL,rocky1,nikollettesunday,25000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,kimsungtee,magicdice,400,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,riseofth,1,3,@@000000013,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,klen.civil,smartsteem,2646,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kimsungtee,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,nikollettesunday,minnowvotes,10000,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,eaglespirit,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,gangresteem,klen.civil,1,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,4000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,8000,3,@@000000021,2019-02-03 12:03:42
NULL,profitvote,discernente,1025,3,@@000000021,2019-02-03 12:03:42
NULL,apix,profitvote,985,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,abrockman,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,aewind,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,ankarlie,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,kimsungtee,magicdice,200,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,anttn,1,3,@@000000021,2019-02-03 12:03:42
NULL,htliao,team-cn,5517,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,axeman,1,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,anwars,1,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kimsungtee,400,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,art-s,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,hakancelik,deepcrypto8,2894552,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,balte,1,3,@@000000021,2019-02-03 12:03:42
NULL,isnochys,millibot,2,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,praditya,magicdice,6920,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,balticbadger,1,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,murathe,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7424,3,@@000000021,2019-02-03 12:03:42
NULL,earncrypto,onesteemit,2,3,@@000000013,2019-02-03 12:03:42
NULL,tipopipa,jerrybanfield,1000,3,@@000000013,2019-02-03 12:03:42
NULL,disable3,profitvote,960,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,banguri,1,3,@@000000021,2019-02-03 12:03:42
NULL,isnochys,microbot,3,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,praditya,7214,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,bartosz546,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,bearded-benjamin,1,3,@@000000021,2019-02-03 12:03:42
NULL,isnochys,minibot,2,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7424,3,@@000000021,2019-02-03 12:03:42
NULL,kabil,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,blueeyes8960,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,boatsports90,1,3,@@000000021,2019-02-03 12:03:42
NULL,isnochys,nanobot,2,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,boddhisattva,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,cadawg,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,camiloferrua,1,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,sauravrungta,1,3,@@000000013,2019-02-03 12:03:42
NULL,minnowvotes,nikollettesunday,10000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,cavampire,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7424,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,centering,1,3,@@000000021,2019-02-03 12:03:42
NULL,htliao,deepcrypto8,40822,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,chetanpadliya,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,raise-me-up,nikollettesunday,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,clm,1,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,coupleumbrella,1,3,@@000000021,2019-02-03 12:03:42
NULL,kimsungtee,magicdice,400,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,1,3,@@000000021,2019-02-03 12:03:42
NULL,kshahrck,smartmarket,1000,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,profitvote,apix,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,cryptoeater,1,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,vicesrus,2,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kimsungtee,800,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7424,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,kabil,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,cryptogangz,1,3,@@000000021,2019-02-03 12:03:42
NULL,binance-hot,drinkyouroj,48230,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,11,3,@@000000013,2019-02-03 12:03:42
NULL,praditya,magicdice,200,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,dado13btc,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,350,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,praditya,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,damiancrypto,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,diogosantos,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,direwolf,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,kwarteng88,1,3,@@000000013,2019-02-03 12:03:42
NULL,peakmonsters,myfreebtc,11,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,dominion01,1,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,882,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,echosupport,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,7424,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,2646,3,@@000000021,2019-02-03 12:03:42
NULL,libert,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,digital.mine,tipu,21000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,enjoyinglife,1,3,@@000000021,2019-02-03 12:03:42
NULL,karishmasingh711,treeplanter,40,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,fom,17,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,gabbynhice,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,libert,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,fom,316,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,globetrotters,1,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,heterodox,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,superpromoter,disable3,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,nanadar,838,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,980,3,@@000000021,2019-02-03 12:03:42
NULL,kabil,magicdice,100,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,jaydih,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,libert,magicdice,200,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,nanadar,2514,3,@@000000021,2019-02-03 12:03:42
NULL,stiant,peakmonsters,392,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,jazzresin,1,3,@@000000021,2019-02-03 12:03:42
NULL,profitvote,disable3,960,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kabil,350,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,jiujitsu,1,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,libert,400,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,lilypang22,7,3,@@000000013,2019-02-03 12:03:42
NULL,drisers,bxlphabet,1000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,johhnnyturbo20,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,nanadar,931,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,1078,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,jonmaim,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,98,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,lilypang22,129,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,dasgup,374,3,@@000000021,2019-02-03 12:03:42
NULL,holger80,peakmonsters,216,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,julisavio,1,3,@@000000021,2019-02-03 12:03:42
NULL,kimsungtee,magicdice,400,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,crypto-n-custard,sinzzer,1,3,@@000000013,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kanrat,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kimsungtee,800,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,nanadar,1025,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,knircky,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,solpaz,94,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kstop1,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,6533,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,digital.mine,1,3,@@000000013,2019-02-03 12:03:42
NULL,peakmonsters,kalam,208,3,@@000000013,2019-02-03 12:03:42
NULL,peakcredit,peakmonsters,1372,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,libert,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,oliverschmid,magicdice,500,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,lordbutterfly,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,kgakakillerg,magicdice,100,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,maikuraki,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,nageshwar0369,magicdice,5000,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,oliverschmid,1000,3,@@000000021,2019-02-03 12:03:42
NULL,peakmonsters,nanadar,1304,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,masoom,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,nageshwar0369,1,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,kgakakillerg,200,3,@@000000013,2019-02-03 12:03:42
NULL,magicdice,mancer-sm-alt,41702,3,@@000000021,2019-02-03 12:03:42
NULL,magicdice,masterthematrix,1,3,@@000000021,2019-02-03 12:03:42
NULL,mancer-sm-alt,magicdice,40000,3,@@000000021,2019-02-03 12:03:42
NULL,drisers,pranto,1000,3,@@000000021,2019-02-03 12:03:42
NULL,tipu,minimalpris,4,3,@@000000013,2019-02-03 12:03:42
